City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
160,Ushibuka,JP,75.16,overcast clouds,32.1906,130.0228,Hotei
164,Siuri,IN,81.23,overcast clouds,23.9167,87.5333,Sarada Hotel & Restaurant
169,Huanan,CN,79.47,clear sky,46.2167,130.5167,Xilong Hotel
171,Kieta,PG,84.38,light rain,-6.2167,155.6333,Uruna Bay Retreat
173,Outlook,CA,82.96,few clouds,51.5001,-107.0513,Red Wheel Motel
179,Tautira,PF,82.42,light rain,-17.7333,-149.15,Pension Oaoa
180,Georgetown,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
182,Batticaloa,LK,83.5,overcast clouds,7.7102,81.6924,Grand Star Guest House
183,Hami,CN,73.56,light rain,42.8,93.45,Laoyutang Resort
184,Carlsbad,US,86.77,clear sky,33.1581,-117.3506,Carlsbad Inn Beach Resort
185,Loandjili,CG,75.31,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
186,Kavieng,PG,85.23,few clouds,-2.5744,150.7967,Nusa Island Retreat
190,Gambela,ET,70.97,moderate rain,8.25,34.5833,Solomon Debebe Hotel
193,Manavalakurichi,IN,75.29,overcast clouds,8.1333,77.3,Udaya Boys Hostel
194,Fort Pierce,US,84.09,broken clouds,27.4467,-80.3256,Hutchinson Island Plaza Hotel & Suites
196,Saint-Pierre,RE,71.24,clear sky,-21.3393,55.4781,Lindsey Hôtel
200,Qingdao,CN,73.0,clear sky,36.0986,120.3719,东晖国际大酒店餐厅
201,Miyako,JP,73.02,few clouds,39.6367,141.9525,Hotel Route Inn Miyako
202,Port Hedland,AU,77.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
208,Buraydah,SA,79.25,clear sky,26.326,43.975,فندق راحة السلام
210,Lorengau,PG,85.75,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
216,Dingle,PH,85.89,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
221,Bitung,ID,88.65,overcast clouds,1.4451,125.1824,K2 Lembeh
222,Ko Samui,TH,85.91,few clouds,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
224,Tebingtinggi,ID,78.85,overcast clouds,3.3285,99.1625,Hotel Malibou tebing tinggi
225,Amahai,ID,80.64,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
227,Ponta Do Sol,PT,70.43,overcast clouds,32.6667,-17.1,Hotel do Campo
229,Barela,IN,77.81,haze,23.1,80.05,GRKIST Boys Hostel
232,Salalah,OM,82.49,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
236,Sibolga,ID,82.53,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
238,Minab,IR,85.5,few clouds,27.1467,57.0801,Bam campground
240,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
241,Aktau,KZ,73.98,broken clouds,43.65,51.2,Silk Way Hotel
242,Samaro,PK,86.67,clear sky,25.2815,69.3965,Rano Mal gold simth
244,Tuy Hoa,VN,86.86,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
247,Mantua,IT,75.07,clear sky,45.1667,10.7833,Hotel la Favorita
248,Campos Belos,BR,74.23,broken clouds,-13.0367,-46.7717,Pousada Carnaúba
249,Lufilufi,WS,89.38,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
252,Bilma,NE,87.64,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
253,Vao,NC,73.67,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
256,Sinnamary,GF,77.86,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
261,Chorozinho,BR,80.28,few clouds,-4.3003,-38.4978,Bora Fortaleza
264,Manokwari,ID,78.21,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
267,Aquiraz,BR,81.18,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
268,Kainantu,PG,74.41,few clouds,-6.2887,145.8655,Sylvester buku
269,Unguia,CO,74.98,overcast clouds,8.0434,-77.0945,Residencias El Golfo
271,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
275,Shu,KZ,70.23,clear sky,43.5983,73.7614,Shyngyzkhan
277,Kahului,US,81.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
278,Chaoyang,CN,79.97,overcast clouds,41.5703,120.4586,Chaoyang Genting International Hotel
284,Veraval,IN,84.74,clear sky,20.9,70.3667,Lords Inn Somnath
286,Kokopo,PG,86.11,clear sky,-4.352,152.2633,Kokopo Beach Bungalow Resort
289,Athens,GR,72.16,few clouds,37.9795,23.7162,Novotel Athenes
290,East Wenatchee Bench,US,79.79,clear sky,47.4257,-120.2812,Coast Wenatchee Center Hotel
